year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,release_date,user_reviews,critics_reviews,popularity,awards_wins,awards_nominations,Golden_Globes_won,Golden_Globes_nominated,BAFTA_won,BAFTA_nominated,Screen_Actors_Guild_won,Screen_Actors_Guild_nominated,Critics_Choice_won,Critics_Choice_nominated,Directors_Guild_won,Directors_Guild_nominated,Producers_Guild_won,Producers_Guild_nominated,Art_Directors_Guild_won,Art_Directors_Guild_nominated,Writers_Guild_won,Writers_Guild_nominated,Costume_Designers_Guild_won,Costume_Designers_Guild_nominated,Online_Film_Television_Association_won,Online_Film_Television_Association_nominated,Online_Film_Critics_Society_won,Online_Film_Critics_Society_nominated,People_Choice_won,People_Choice_nominated,London_Critics_Circle_Film_won,London_Critics_Circle_Film_nominated,American_Cinema_Editors_won,American_Cinema_Editors_nominated,Hollywood_Film_won,Hollywood_Film_nominated,Austin_Film_Critics_Association_won,Austin_Film_Critics_Association_nominated,Denver_Film_Critics_Society_won,Denver_Film_Critics_Society_nominated,Boston_Society_of_Film_Critics_won,Boston_Society_of_Film_Critics_nominated,New_York_Film_Critics_Circle_won,New_York_Film_Critics_Circle_nominated,Los_Angeles_Film_Critics_Association_won,Los_Angeles_Film_Critics_Association_nominated,release_date.year,release_date.month,release_date.day-of-month,release_date.day-of-week
2018,Incredibles 2,tt3606756,PG,118,Animation|Action|Adventure|Comedy|Family|Sci-Fi,7.8,80,,165333,608581744,,889,356,77,0,11,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,1,,6,,
2018,Red Sparrow,tt2873282,R,140,Action|Drama|Thriller,6.6,53,,122950,46874505,,787,322,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,
2018,Welcome to Marwen,tt3289724,PG-13,116,Biography|Comedy|Drama|Fantasy,5.9,40,,3140,10759880,,100,87,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,,
2018,Peppermint,tt6850820,R,101,Action|Crime|Drama|Thriller,6.5,29,,26022,35418723,,476,135,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,,
2018,Wildlife,tt5929754,PG-13,105,Drama,7.1,80,,7076,1028993,,58,206,83,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,
2018,Upgrade,tt6499752,R,100,Action|Sci-Fi|Thriller,7.6,67,,82823,11871365,,733,195,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,6,,
2018,Game Night,tt2704998,R,100,Action|Comedy|Crime|Mystery,7.0,66,,143659,69001013,,457,279,85,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2,,
2018,Mid90s,tt5613484,R,85,Comedy|Drama,7.4,66,,10806,7362439,,103,83,88,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,,
2018,The Meg,tt4779682,PG-13,113,Action|Horror|Sci-Fi|Thriller,5.7,46,,92673,143005856,,1152,353,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,,
2018,The Hate U Give,tt5580266,PG-13,133,Crime|Drama,7.0,81,,9448,29714621,,213,108,92,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,10,,
2018,Life Itself,tt5989218,R,117,Drama|Romance,6.4,21,,5676,4102648,,180,87,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,,
2018,Ocean's Eight,tt5164214,PG-13,110,Action|Comedy|Crime|Thriller,6.2,61,,119986,139377762,,834,316,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,
2018,The Equalizer 2,tt3766354,R,121,Action|Crime|Thriller,6.8,50,,77603,102084362,,563,204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,
2018,Suspiria,tt1034415,R,152,Fantasy|Horror|Mystery|Thriller,7.2,64,,14684,2474044,,191,249,102,1,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,,11,,
2018,Smallfoot,tt6182908,PG,96,Animation|Adventure|Comedy|Family|Fantasy|Musical,6.7,60,,16398,83236701,,160,109,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,,
2018,Ant-Man and the Wasp,tt5095030,PG-13,118,Action|Adventure|Comedy|Sci-Fi,7.1,70,,183156,216648740,,793,386,104,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,
2018,Widows,tt4218572,R,129,Crime|Drama|Thriller,7.4,84,,25914,42262936,,298,307,110,4,17,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,1,,11,,
2018,Hunter Killer,tt1846589,R,122,Action|Thriller,6.7,43,,14430,15767460,,311,91,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,,
2018,The Nun,tt5814060,R,96,Horror|Mystery|Thriller,5.4,46,,74411,117443149,,1441,223,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,,
2018,Mile 22,tt4560436,R,94,Action|Adventure|Crime|Thriller,6.1,38,,38032,36108758,,610,174,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,,
2018,Johnny English Strikes Again,tt6921996,PG,89,Action|Adventure|Comedy,6.2,39,,34446,4280890,,309,125,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,,
2018,Den of Thieves,tt1259528,R,140,Action|Crime|Drama|Mystery|Thriller,7.0,49,,61857,44947622,,330,171,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,
2018,The House with a Clock in Its Walls,tt2119543,PG,105,Comedy|Family|Fantasy|Horror|Mystery|Sci-Fi|Thriller,6.1,57,,24376,68549695,,342,184,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,,
2018,Super Troopers 2,tt0859635,R,99,Comedy|Crime|Mystery,6.1,41,,17277,30617396,,187,87,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,
